customer_id,age,income,gender,city,purchase_amount,num_purchases,is_member,target
1.0,56.0,70585.0,Female,Surabaya,,4.0,1.0,1.0
2.0,69.0,39833.0,Female,Jakarta,1121.9289587987835,2.0,1.0,0.0
,46.0,67302.0,Female,Surabaya,147.33950221409728,3.0,1.0,1.0
4.0,32.0,44374.0,Female,Jakarta,5294.598156410972,10.0,1.0,0.0
5.0,60.0,39587.0,,Jakarta,749.1518947050914,4.0,0.0,1.0
,25.0,51647.0,Male,Medan,497.3473590547785,2.0,0.0,0.0
7.0,78.0,55136.0,Female,Surabaya,1076.2064775074407,5.0,1.0,1.0
8.0,38.0,78672.0,Male,Surabaya,,5.0,1.0,
9.0,56.0,54793.0,Male,Bandung,1012.0823061019091,2.0,0.0,1.0
10.0,75.0,52899.0,Female,Medan,689.6253903481844,5.0,1.0,0.0
11.0,36.0,73942.0,Female,Bandung,522.0114019676628,5.0,0.0,0.0
12.0,40.0,59015.0,Male,Medan,3058.0337505581806,5.0,1.0,1.0
13.0,28.0,40335.0,Female,Surabaya,739.2742989229066,6.0,0.0,0.0
14.0,28.0,70339.0,Female,Jakarta,247.33056231346845,3.0,1.0,0.0
15.0,41.0,38905.0,Male,Jakarta,614.2684966419764,5.0,1.0,1.0
16.0,70.0,40261.0,Male,Jakarta,2518.100370868053,,0.0,0.0
17.0,53.0,37272.0,Male,Jakarta,193.70061905061678,3.0,1.0,0.0
18.0,57.0,35956.0,Female,Jakarta,240.74382988917375,5.0,1.0,1.0
19.0,41.0,54997.0,Male,Bandung,13.11519719807412,,0.0,0.0
20.0,20.0,46131.0,Female,Medan,,4.0,0.0,1.0
21.0,39.0,-2172.0,Male,Surabaya,1768.3845651671147,3.0,1.0,0.0
22.0,70.0,45976.0,Male,Bandung,1317.2258913709284,3.0,1.0,1.0
23.0,19.0,42231.0,Male,Medan,438.5686176262179,5.0,1.0,0.0
24.0,41.0,63392.0,Female,,1198.3591146993945,5.0,0.0,1.0
25.0,61.0,41551.0,Female,Medan,502.86725295776245,6.0,1.0,0.0
26.0,47.0,88088.0,Male,Medan,3055.414254749564,6.0,0.0,0.0
27.0,55.0,70951.0,Male,Jakarta,3412.8453999803937,6.0,1.0,1.0
28.0,19.0,44151.0,,Jakarta,498.88680230988047,6.0,1.0,0.0
29.0,77.0,,Female,Jakarta,1925.6697199476243,7.0,1.0,1.0
30.0,38.0,57878.0,Male,Surabaya,1483.1975926263863,2.0,1.0,1.0
31.0,,53501.0,Female,Jakarta,371.06359033545834,5.0,1.0,0.0
32.0,29.0,62039.0,Male,,,3.0,1.0,1.0
33.0,,50811.0,Male,Jakarta,612.9223055897256,1.0,1.0,0.0
34.0,39.0,53605.0,Male,Surabaya,1520.2776986648494,8.0,1.0,0.0
35.0,78.0,62350.0,Male,Medan,3223.0792651766783,0.0,1.0,0.0
36.0,61.0,80786.0,Male,Bandung,1442.1414561961815,,1.0,1.0
37.0,42.0,,Male,Medan,,3.0,1.0,0.0
38.0,66.0,43193.0,Female,Medan,,3.0,1.0,1.0
